category,editor,entered,sub-category,uid,updated,entity_type,e-i,first_name,last_name
POLITICAL INDIVIDUAL,,2001-09-08,PEP,16,2022-09-05,person,M,Sheikh Hasina,KIM
POLITICAL INDIVIDUAL,,2003-04-18,,27,2023-02-28,person,M,Paul Kagame,ABD-AL-GHAFUR
POLITICAL INDIVIDUAL,,2007-09-14,PEP,19,2022-11-30,person,F,Ahmad al-Rashid,MORSI
INDIVIDUAL,,2002-06-30,,49,2023-05-14,person,F,Xi Jinping,TALIBAN
CRIME - FINANCIAL,,2004-07-09,,11,2023-01-22,person,E,,ISLAMIC STATE OF IRAQ AND SYRIA
INDIVIDUAL,,2004-07-09,,50,2022-06-18,person,F,Vladimir Putin,PUTIN
POLITICAL INDIVIDUAL,,2001-03-22,,22,2022-12-10,person,E,,AL-QAIDA IN THE ARABIAN PENINSULA
CRIME - FINANCIAL,,2006-05-20,,13,2023-01-22,person,E,,AL-QAIDA IN THE ARABIAN PENINSULA
INDIVIDUAL,,2000-11-10,,41,2023-04-06,person,E,,GLOBAL INVESTMENT HOLDINGS
INDIVIDUAL,,2001-09-08,,34,2022-06-18,person,E,,EASTERN DEVELOPMENT BANK
POLITICAL INDIVIDUAL,,2003-08-25,PEP,31,2022-11-15,person,M,Imran Khan,AL-SABAH
CRIME - TERROR,,2002-01-12,,2,2022-06-18,person,E,,AL-SHABAAB INTELLIGENCE UNIT
POLITICAL INDIVIDUAL,,2000-10-16,PEP,32,2023-02-28,person,M,Muammar Gaddafi,MUBARAK
CRIME - TERROR,,2000-10-16,,3,2023-01-08,person,E,,HEZBOLLAH MILITANT WING
POLITICAL INDIVIDUAL,,2001-05-15,PEP,26,2022-11-15,person,M,Omar Hassan,MUSEVENI
CRIME - TERROR,,2000-11-10,,4,2023-04-06,person,E,,AL-QAIDA IN THE ARABIAN PENINSULA
POLITICAL INDIVIDUAL,,2003-08-25,PEP,24,2023-01-22,person,F,Sadi Tuma Abbas,AL-SABAH
POLITICAL INDIVIDUAL,,2002-06-30,PEP,25,2022-12-10,person,E,,HAMAS POLITICAL BUREAU
INDIVIDUAL,,2003-04-18,,44,2023-01-08,person,F,Raul Castro,CASTRO
INDIVIDUAL,,2001-09-08,,38,2022-05-25,person,M,Omar Hassan,PUTIN
INDIVIDUAL,,2000-10-16,,46,2022-04-10,person,M,Yusuf Ibrahim,KAGAME
INDIVIDUAL,,2002-01-12,,48,2022-08-30,person,M,Bashar al-Assad,AL-KIDWA
POLITICAL INDIVIDUAL,,2000-10-16,,28,2022-04-10,person,E,,INTERNATIONAL TRADE PARTNERS
INDIVIDUAL,,2004-02-14,,36,2023-01-08,person,E,,BENEVOLENT INTERNATIONAL FOUNDATION
POLITICAL INDIVIDUAL,,2000-10-16,PEP,18,2023-03-15,person,M,Muammar Gaddafi,KAGAME
POLITICAL INDIVIDUAL,,2002-01-12,,15,2023-01-22,person,F,Mahmud Dhiyab,MUBARAK
NONCONVICTION TERROR,,2001-09-08,,6,2023-01-08,person,E,,GLOBAL INVESTMENT HOLDINGS
CRIME - WAR,,2003-08-25,,10,2023-01-22,person,E,,BOKO HARAM SENIOR LEADERSHIP
CRIME - FINANCIAL,,2004-02-14,,12,2022-09-05,person,E,,FATHERLAND LIBERATION FRONT
CRIME - WAR,,2001-05-15,,8,2023-01-08,person,E,,REVOLUTIONARY ORGANIZATION 17 NOVEMBER
POLITICAL INDIVIDUAL,,2001-05-15,,29,2022-09-05,person,F,Tariq Aziz,KHAN
INDIVIDUAL,,2002-06-30,,39,2022-05-25,person,E,,HAMAS POLITICAL BUREAU
POLITICAL INDIVIDUAL,,2006-05-20,PEP,23,2022-09-05,person,F,Narendra Modi,HUSSEIN
CRIME - WAR,,2002-06-30,,9,2022-06-18,person,E,,ETERNAL STRUGGLE MOVEMENT
POLITICAL INDIVIDUAL,,2004-07-09,PEP,17,2022-09-05,person,M,Ahmad al-Rashid,MANSOUR
POLITICAL INDIVIDUAL,,2000-10-16,,33,2023-02-28,person,E,,AL-QAIDA IN THE ARABIAN PENINSULA
POLITICAL INDIVIDUAL,,2004-02-14,PEP,14,2023-05-14,person,F,Raul Castro,AL-DIN
INDIVIDUAL,,2005-11-03,,35,2023-05-14,person,F,Yoweri Museveni,PUTIN
INDIVIDUAL,,2003-04-18,,45,2023-05-14,person,M,Paul Kagame,ABBAS
NONCONVICTION TERROR,,2006-05-20,,7,2022-09-05,person,E,,AL-SHABAAB INTELLIGENCE UNIT
INDIVIDUAL,,2004-07-09,,37,2023-03-15,person,M,Yusuf Ibrahim,AL-QADHAFI
INDIVIDUAL,,2006-05-20,,40,2023-01-22,person,E,,ISLAMIC STATE OF IRAQ AND SYRIA
INDIVIDUAL,,2001-05-15,,47,2023-04-06,person,M,Hassan Rouhani,AL-NASHIR
CRIME - TERROR,,2000-11-10,,1,2022-09-05,person,E,,HEZBOLLAH MILITANT WING
NONCONVICTION TERROR,,2002-01-12,,5,2022-11-15,person,E,,BOKO HARAM SENIOR LEADERSHIP
POLITICAL INDIVIDUAL,,2001-03-22,,21,2022-04-10,person,M,Kim Jong-un,KIM
POLITICAL INDIVIDUAL,,2004-07-09,PEP,30,2022-07-12,person,M,Narendra Modi,MORSI
POLITICAL INDIVIDUAL,,2002-06-30,PEP,20,2023-01-08,person,F,Sheikh Hasina,ABBAS
INDIVIDUAL,,2007-09-14,,42,2022-04-10,person,F,Bashar al-Assad,MANSOUR
INDIVIDUAL,,2000-10-16,,43,2022-12-10,person,E,,GLOBAL RELIEF FOUNDATION
